Book,Chapter,Verse,Text
Mark,11,Title,Jesus’ Triumphal Entry into Jerusalem
Mark,11,Title,Jesus Curses the Fig Tree
Mark,11,Title,Jesus Cleanses the Temple
Mark,11,Title,The Lesson from the Withered Fig Tree
Mark,11,Title,Jesus’ Authority Is Questioned
Mark,11,1,"When they were approaching Jerusalem, at Bethphage and Bethany, near the Mount of Olives, he sent two of his disciples "
Mark,11,2,"and said to them, “Go into the village ahead of you, and immediately as you enter it, you will find tied there a colt that has never been ridden; untie it and bring it. "
Mark,11,3,"If anyone says to you, ‘Why are you doing this?’ just say this, ‘The Lord needs it and will send it back here immediately.’” "
Mark,11,4,"They went away and found a colt tied near a door, outside in the street. As they were untying it, "
Mark,11,5,"some of the bystanders said to them, “What are you doing, untying the colt?” "
Mark,11,6,They told them what Jesus had said; and they allowed them to take it. 
Mark,11,7,Then they brought the colt to Jesus and threw their cloaks on it; and he sat on it. 
Mark,11,8,"Many people spread their cloaks on the road, and others spread leafy branches that they had cut in the fields. "
Mark,11,9,"Then those who went ahead and those who followed were shouting, “Hosanna! Blessed is the one who comes in the name of the Lord! "
Mark,11,10,Blessed is the coming kingdom of our ancestor David! Hosanna in the highest heaven!” 
Mark,11,11,"Then he entered Jerusalem and went into the temple; and when he had looked around at everything, as it was already late, he went out to Bethany with the twelve. "
Mark,11,12,"On the following day, when they came from Bethany, he was hungry. "
Mark,11,13,"Seeing in the distance a fig tree in leaf, he went to see whether perhaps he would find anything on it. When he came to it, he found nothing but leaves, for it was not the season for figs. "
Mark,11,14,"He said to it, “May no one ever eat fruit from you again.” And his disciples heard it. "
Mark,11,15,"Then they came to Jerusalem. And he entered the temple and began to drive out those who were selling and those who were buying in the temple, and he overturned the tables of the money changers and the seats of those who sold doves; "
Mark,11,16,and he would not allow anyone to carry anything through the temple. 
Mark,11,17,"He was teaching and saying, “Is it not written, ‘My house shall be called a house of prayer for all the nations’? But you have made it a den of robbers.” "
Mark,11,18,"And when the chief priests and the scribes heard it, they kept looking for a way to kill him; for they were afraid of him, because the whole crowd was spellbound by his teaching. "
Mark,11,19,"And when evening came, Jesus and his disciples went out of the city. "
Mark,11,20,"In the morning as they passed by, they saw the fig tree withered away to its roots. "
Mark,11,21,"Then Peter remembered and said to him, “Rabbi, look! The fig tree that you cursed has withered.” "
Mark,11,22,"Jesus answered them, “Have faith in God. "
Mark,11,23,"Truly I tell you, if you say to this mountain, ‘Be taken up and thrown into the sea,’ and if you do not doubt in your heart, but believe that what you say will come to pass, it will be done for you. "
Mark,11,24,"So I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours. "
Mark,11,25,"“Whenever you stand praying, forgive, if you have anything against anyone; so that your Father in heaven may also forgive you your trespasses.” "
Mark,11,26,"Again they came to Jerusalem. As he was walking in the temple, the chief priests, the scribes, and the elders came to him "
Mark,11,27,"and said, “By what authority are you doing these things? Who gave you this authority to do them?” "
Mark,11,28,"Jesus said to them, “I will ask you one question; answer me, and I will tell you by what authority I do these things. "
Mark,11,29,"Did the baptism of John come from heaven, or was it of human origin? Answer me.” "
Mark,11,30,"They argued with one another, “If we say, ‘From heaven,’ he will say, ‘Why then did you not believe him?’ "
Mark,11,31,"But shall we say, ‘Of human origin’?”—they were afraid of the crowd, for all regarded John as truly a prophet. "
Matthew,11,32,"So they answered Jesus, “We do not know.” And Jesus said to them, “Neither will I tell you by what authority I am doing these things.” "
