Book,Chapter,Verse,Text
Mark,8,Title,Feeding the Four Thousand
Mark,8,Title,The Demand for a Sign
Mark,8,Title,The Yeast of the Pharisees and of Herod
Mark,8,Title,Jesus Cures a Blind Man at Bethsaida
Mark,8,Title,Peter’s Declaration about Jesus
Mark,8,Title,Jesus Foretells His Death and Resurrection
Mark,8,1,"In those days when there was again a great crowd without anything to eat, he called his disciples and said to them, "
Mark,8,2,"“I have compassion for the crowd, because they have been with me now for three days and have nothing to eat. "
Mark,8,3,"If I send them away hungry to their homes, they will faint on the way—and some of them have come from a great distance.” "
Mark,8,4,"His disciples replied, “How can one feed these people with bread here in the desert?” "
Mark,8,5,"He asked them, “How many loaves do you have?” They said, “Seven.” "
Mark,8,6,"Then he ordered the crowd to sit down on the ground; and he took the seven loaves, and after giving thanks he broke them and gave them to his disciples to distribute; and they distributed them to the crowd. "
Mark,8,7,"They had also a few small fish; and after blessing them, he ordered that these too should be distributed. "
Mark,8,8,"They ate and were filled; and they took up the broken pieces left over, seven baskets full. "
Mark,8,9,Now there were about four thousand people. And he sent them away. 
Mark,8,10,And immediately he got into the boat with his disciples and went to the district of Dalmanutha. 
Mark,8,11,"The Pharisees came and began to argue with him, asking him for a sign from heaven, to test him. "
Mark,8,12,"And he sighed deeply in his spirit and said, “Why does this generation ask for a sign? Truly I tell you, no sign will be given to this generation.” "
Mark,8,13,"And he left them, and getting into the boat again, he went across to the other side. "
Mark,8,14,Now the disciples had forgotten to bring any bread; and they had only one loaf with them in the boat. 
Mark,8,15,"And he cautioned them, saying, “Watch out—beware of the yeast of the Pharisees and the yeast of Herod.” "
Mark,8,16,"They said to one another, “It is because we have no bread.” "
Mark,8,17,"And becoming aware of it, Jesus said to them, “Why are you talking about having no bread? Do you still not perceive or understand? Are your hearts hardened? "
Mark,8,18,"Do you have eyes, and fail to see? Do you have ears, and fail to hear? And do you not remember? "
Mark,8,19,"When I broke the five loaves for the five thousand, how many baskets full of broken pieces did you collect?” They said to him, “Twelve.” "
Mark,8,20,"“And the seven for the four thousand, how many baskets full of broken pieces did you collect?” And they said to him, “Seven.” "
Mark,8,21,"Then he said to them, “Do you not yet understand?” "
Mark,8,22,They came to Bethsaida. Some people brought a blind man to him and begged him to touch him. 
Mark,8,23,"He took the blind man by the hand and led him out of the village; and when he had put saliva on his eyes and laid his hands on him, he asked him, “Can you see anything?” "
Mark,8,24,"And the man looked up and said, “I can see people, but they look like trees, walking.” "
Mark,8,25,"Then Jesus laid his hands on his eyes again; and he looked intently and his sight was restored, and he saw everything clearly. "
Mark,8,26,"Then he sent him away to his home, saying, “Do not even go into the village.” "
Mark,8,27,"Jesus went on with his disciples to the villages of Caesarea Philippi; and on the way he asked his disciples, “Who do people say that I am?” "
Mark,8,28,"And they answered him, “John the Baptist; and others, Elijah; and still others, one of the prophets.” "
Mark,8,29,"He asked them, “But who do you say that I am?” Peter answered him, “You are the Messiah.” "
Mark,8,30,And he sternly ordered them not to tell anyone about him. 
Mark,8,31,"Then he began to teach them that the Son of Man must undergo great suffering, and be rejected by the elders, the chief priests, and the scribes, and be killed, and after three days rise again. "
Mark,8,32,He said all this quite openly. And Peter took him aside and began to rebuke him. 
Mark,8,33,"But turning and looking at his disciples, he rebuked Peter and said, “Get behind me, Satan! For you are setting your mind not on divine things but on human things.” "
Mark,8,34,"He called the crowd with his disciples, and said to them, “If any want to become my followers, let them deny themselves and take up their cross and follow me. "
Mark,8,35,"For those who want to save their life will lose it, and those who lose their life for my sake, and for the sake of the gospel, will save it. "
Mark,8,36,For what will it profit them to gain the whole world and forfeit their life? 
Mark,8,37,"Indeed, what can they give in return for their life? "
Mark,8,38,"Those who are ashamed of me and of my words in this adulterous and sinful generation, of them the Son of Man will also be ashamed when he comes in the glory of his Father with the holy angels.” "
