Book,Chapter,Verse,Text
Romans,14,Title,Do Not Judge Another
Romans,14,Title,Do Not Make Another Stumble
Romans,14,1,"Welcome those who are weak in faith, but not for the purpose of quarreling over opinions. "
Romans,14,2,"Some believe in eating anything, while the weak eat only vegetables. "
Romans,14,3,"Those who eat must not despise those who abstain, and those who abstain must not pass judgment on those who eat; for God has welcomed them. "
Romans,14,4,"Who are you to pass judgment on servants of another? It is before their own lord that they stand or fall. And they will be upheld, for the Lord is able to make them stand. "
Romans,14,5,"Some judge one day to be better than another, while others judge all days to be alike. Let all be fully convinced in their own minds. "
Romans,14,6,"Those who observe the day, observe it in honor of the Lord. Also those who eat, eat in honor of the Lord, since they give thanks to God; while those who abstain, abstain in honor of the Lord and give thanks to God. "
Romans,14,7,"We do not live to ourselves, and we do not die to ourselves. "
Romans,14,8,"If we live, we live to the Lord, and if we die, we die to the Lord; so then, whether we live or whether we die, we are the Lord’s. "
Romans,14,9,"For to this end Christ died and lived again, so that he might be Lord of both the dead and the living. "
Romans,14,10,"Why do you pass judgment on your brother or sister? Or you, why do you despise your brother or sister? For we will all stand before the judgment seat of God. "
Romans,14,11,"For it is written, “As I live, says the Lord, every knee shall bow to me, and every tongue shall give praise to God.” "
Romans,14,12,"So then, each of us will be accountable to God. "
Romans,14,13,"Let us therefore no longer pass judgment on one another, but resolve instead never to put a stumbling block or hindrance in the way of another. "
Romans,14,14,I know and am persuaded in the Lord Jesus that nothing is unclean in itself; but it is unclean for anyone who thinks it unclean. 
Romans,14,15,"If your brother or sister is being injured by what you eat, you are no longer walking in love. Do not let what you eat cause the ruin of one for whom Christ died. "
Romans,14,16,So do not let your good be spoken of as evil. 
Romans,14,17,For the kingdom of God is not food and drink but righteousness and peace and joy in the Holy Spirit. 
Romans,14,18,The one who thus serves Christ is acceptable to God and has human approval. 
Romans,14,19,Let us then pursue what makes for peace and for mutual upbuilding. 
Romans,14,20,"Do not, for the sake of food, destroy the work of God. Everything is indeed clean, but it is wrong for you to make others fall by what you eat; "
Romans,14,21,it is good not to eat meat or drink wine or do anything that makes your brother or sister stumble. 
Romans,14,22,"The faith that you have, have as your own conviction before God. Blessed are those who have no reason to condemn themselves because of what they approve. "
Matthew,14,23,"But those who have doubts are condemned if they eat, because they do not act from faith; for whatever does not proceed from faith is sin. "
