Book,Chapter,Verse,Text
Matthew,16,Title,The Demand for a Sign
Matthew,16,Title,The Yeast of the Pharisees and Sadducees
Matthew,16,Title,Peter’s Declaration about Jesus
Matthew,16,Title,Jesus Foretells His Death and Resurrection
Matthew,16,Title,The Cross and Self-Denial
Matthew,16,1,"The Pharisees and Sadducees came, and to test Jesus they asked him to show them a sign from heaven. "
Matthew,16,2,"He answered them, “When it is evening, you say, ‘It will be fair weather, for the sky is red.’ "
Matthew,16,3,"And in the morning, ‘It will be stormy today, for the sky is red and threatening.’ You know how to interpret the appearance of the sky, but you cannot interpret the signs of the times. "
Matthew,16,4,"An evil and adulterous generation asks for a sign, but no sign will be given to it except the sign of Jonah.” Then he left them and went away. "
Matthew,16,5,"When the disciples reached the other side, they had forgotten to bring any bread. "
Matthew,16,6,"Jesus said to them, “Watch out, and beware of the yeast of the Pharisees and Sadducees.” "
Matthew,16,7,"They said to one another, “It is because we have brought no bread.” "
Matthew,16,8,"And becoming aware of it, Jesus said, “You of little faith, why are you talking about having no bread? "
Matthew,16,9,"Do you still not perceive? Do you not remember the five loaves for the five thousand, and how many baskets you gathered? "
Matthew,16,10,"Or the seven loaves for the four thousand, and how many baskets you gathered? "
Matthew,16,11,How could you fail to perceive that I was not speaking about bread? Beware of the yeast of the Pharisees and Sadducees!” 
Matthew,16,12,"Then they understood that he had not told them to beware of the yeast of bread, but of the teaching of the Pharisees and Sadducees. "
Matthew,16,13,"Now when Jesus came into the district of Caesarea Philippi, he asked his disciples, “Who do people say that the Son of Man is?” "
Matthew,16,14,"And they said, “Some say John the Baptist, but others Elijah, and still others Jeremiah or one of the prophets.” "
Matthew,16,15,"He said to them, “But who do you say that I am?” "
Matthew,16,16,"Simon Peter answered, “You are the Messiah, the Son of the living God.” "
Matthew,16,17,"And Jesus answered him, “Blessed are you, Simon son of Jonah! For flesh and blood has not revealed this to you, but my Father in heaven. "
Matthew,16,18,"And I tell you, you are Peter, and on this rock I will build my church, and the gates of Hades will not prevail against it. "
Matthew,16,19,"I will give you the keys of the kingdom of heaven, and whatever you bind on earth will be bound in heaven, and whatever you loose on earth will be loosed in heaven.” "
Matthew,16,20,Then he sternly ordered the disciples not to tell anyone that he was the Messiah. 
Matthew,16,21,"From that time on, Jesus began to show his disciples that he must go to Jerusalem and undergo great suffering at the hands of the elders and chief priests and scribes, and be killed, and on the third day be raised. "
Matthew,16,22,"And Peter took him aside and began to rebuke him, saying, “God forbid it, Lord! This must never happen to you.” "
Matthew,16,23,"But he turned and said to Peter, “Get behind me, Satan! You are a stumbling block to me; for you are setting your mind not on divine things but on human things.” "
Matthew,16,24,"Then Jesus told his disciples, “If any want to become my followers, let them deny themselves and take up their cross and follow me. "
Matthew,16,25,"For those who want to save their life will lose it, and those who lose their life for my sake will find it. "
Matthew,16,26,For what will it profit them if they gain the whole world but forfeit their life? Or what will they give in return for their life? 
Matthew,16,27,"“For the Son of Man is to come with his angels in the glory of his Father, and then he will repay everyone for what has been done. "
Matthew,16,28,"Truly I tell you, there are some standing here who will not taste death before they see the Son of Man coming in his kingdom.” "
