Book,Chapter,Verse,Text
Matthew,22,Title,The Parable of the Wedding Banquet
Matthew,22,Title,The Question about Paying Taxes
Matthew,22,Title,The Question about the Resurrection
Matthew,22,Title,The Greatest Commandment
Matthew,22,Title,The Question about David’s Son
Matthew,22,1,"Once more Jesus spoke to them in parables, saying: "
Matthew,22,2,“The kingdom of heaven may be compared to a king who gave a wedding banquet for his son. 
Matthew,22,3,"He sent his slaves to call those who had been invited to the wedding banquet, but they would not come. "
Matthew,22,4,"Again he sent other slaves, saying, ‘Tell those who have been invited: Look, I have prepared my dinner, my oxen and my fat calves have been slaughtered, and everything is ready; come to the wedding banquet.’ "
Matthew,22,5,"But they made light of it and went away, one to his farm, another to his business, "
Matthew,22,6,"while the rest seized his slaves, mistreated them, and killed them. "
Matthew,22,7,"The king was enraged. He sent his troops, destroyed those murderers, and burned their city. "
Matthew,22,8,"Then he said to his slaves, ‘The wedding is ready, but those invited were not worthy. "
Matthew,22,9,"Go therefore into the main streets, and invite everyone you find to the wedding banquet.’ "
Matthew,22,10,"Those slaves went out into the streets and gathered all whom they found, both good and bad; so the wedding hall was filled with guests. "
Matthew,22,11,"“But when the king came in to see the guests, he noticed a man there who was not wearing a wedding robe, "
Matthew,22,12,"and he said to him, ‘Friend, how did you get in here without a wedding robe?’ And he was speechless. "
Matthew,22,13,"Then the king said to the attendants, ‘Bind him hand and foot, and throw him into the outer darkness, where there will be weeping and gnashing of teeth.’ "
Matthew,22,14,"For many are called, but few are chosen.” "
Matthew,22,15,Then the Pharisees went and plotted to entrap him in what he said. 
Matthew,22,16,"So they sent their disciples to him, along with the Herodians, saying, “Teacher, we know that you are sincere, and teach the way of God in accordance with truth, and show deference to no one; for you do not regard people with partiality. "
Matthew,22,17,"Tell us, then, what you think. Is it lawful to pay taxes to the emperor, or not?” "
Matthew,22,18,"But Jesus, aware of their malice, said, “Why are you putting me to the test, you hypocrites? "
Matthew,22,19,Show me the coin used for the tax.” And they brought him a denarius. 
Matthew,22,20,"Then he said to them, “Whose head is this, and whose title?” "
Matthew,22,21,"They answered, “The emperor’s.” Then he said to them, “Give therefore to the emperor the things that are the emperor’s, and to God the things that are God’s.” "
Matthew,22,22,"When they heard this, they were amazed; and they left him and went away. "
Matthew,22,23,"The same day some Sadducees came to him, saying there is no resurrection; and they asked him a question, saying, "
Matthew,22,24,"“Teacher, Moses said, ‘If a man dies childless, his brother shall marry the widow, and raise up children for his brother.’ "
Matthew,22,25,"Now there were seven brothers among us; the first married, and died childless, leaving the widow to his brother. "
Matthew,22,26,"The second did the same, so also the third, down to the seventh. "
Matthew,22,27,"Last of all, the woman herself died. "
Matthew,22,28,"In the resurrection, then, whose wife of the seven will she be? For all of them had married her.” "
Matthew,22,29,"Jesus answered them, “You are wrong, because you know neither the scriptures nor the power of God. "
Matthew,22,30,"For in the resurrection they neither marry nor are given in marriage, but are like angels in heaven. "
Matthew,22,31,"And as for the resurrection of the dead, have you not read what was said to you by God, "
Matthew,22,32,"‘I am the God of Abraham, the God of Isaac, and the God of Jacob’? He is God not of the dead, but of the living.” "
Matthew,22,33,"And when the crowd heard it, they were astounded at his teaching. "
Matthew,22,34,"When the Pharisees heard that he had silenced the Sadducees, they gathered together, "
Matthew,22,35,"and one of them, a lawyer, asked him a question to test him. "
Matthew,22,36,"“Teacher, which commandment in the law is the greatest?” "
Matthew,22,37,"He said to him, “‘You shall love the Lord your God with all your heart, and with all your soul, and with all your mind.’ "
Matthew,22,38,This is the greatest and first commandment. 
Matthew,22,39,And a second is like it: ‘You shall love your neighbor as yourself.’ 
Matthew,22,40,On these two commandments hang all the law and the prophets.” 
Matthew,22,41,"Now while the Pharisees were gathered together, Jesus asked them this question: "
Matthew,22,42,"“What do you think of the Messiah? Whose son is he?” They said to him, “The son of David.” "
Matthew,22,43,"He said to them, “How is it then that David by the Spirit calls him Lord, saying, "
Matthew,22,44,"‘The Lord said to my Lord, “Sit at my right hand, until I put your enemies under your feet”’? "
Matthew,22,45,"If David thus calls him Lord, how can he be his son?” "
Matthew,22,46,"No one was able to give him an answer, nor from that day did anyone dare to ask him any more questions. "
