Book,Chapter,Verse,Text
Matthew,27,Title,Jesus Brought before Pilate
Matthew,27,Title,The Suicide of Judas
Matthew,27,Title,Pilate Questions Jesus
Matthew,27,Title,Barabbas or Jesus?
Matthew,27,Title,Pilate Hands Jesus over to Be Crucified
Matthew,27,Title,The Soldiers Mock Jesus
Matthew,27,Title,The Crucifixion of Jesus
Matthew,27,Title,The Death of Jesus
Matthew,27,Title,The Burial of Jesus
Matthew,27,Title,The Guard at the Tomb
Matthew,27,1,"When morning came, all the chief priests and the elders of the people conferred together against Jesus in order to bring about his death. "
Matthew,27,2,"They bound him, led him away, and handed him over to Pilate the governor. "
Matthew,27,3,"When Judas, his betrayer, saw that Jesus was condemned, he repented and brought back the thirty pieces of silver to the chief priests and the elders. "
Matthew,27,4,"He said, “I have sinned by betraying innocent blood.” But they said, “What is that to us? See to it yourself.” "
Matthew,27,5,"Throwing down the pieces of silver in the temple, he departed; and he went and hanged himself. "
Matthew,27,6,"But the chief priests, taking the pieces of silver, said, “It is not lawful to put them into the treasury, since they are blood money.” "
Matthew,27,7,"After conferring together, they used them to buy the potter’s field as a place to bury foreigners. "
Matthew,27,8,For this reason that field has been called the Field of Blood to this day. 
Matthew,27,9,"Then was fulfilled what had been spoken through the prophet Jeremiah, “And they took the thirty pieces of silver, the price of the one on whom a price had been set, on whom some of the people of Israel had set a price, "
Matthew,27,10,"and they gave them for the potter’s field, as the Lord commanded me.” "
Matthew,27,11,"Now Jesus stood before the governor; and the governor asked him, “Are you the King of the Jews?” Jesus said, “You say so.” "
Matthew,27,12,"But when he was accused by the chief priests and elders, he did not answer. "
Matthew,27,13,"Then Pilate said to him, “Do you not hear how many accusations they make against you?” "
Matthew,27,14,"But he gave him no answer, not even to a single charge, so that the governor was greatly amazed. "
Matthew,27,15,"Now at the festival the governor was accustomed to release a prisoner for the crowd, anyone whom they wanted. "
Matthew,27,16,"At that time they had a notorious prisoner, called Jesus Barabbas. "
Matthew,27,17,"So after they had gathered, Pilate said to them, “Whom do you want me to release for you, Jesus Barabbas or Jesus who is called the Messiah?” "
Matthew,27,18,For he realized that it was out of jealousy that they had handed him over. 
Matthew,27,19,"While he was sitting on the judgment seat, his wife sent word to him, “Have nothing to do with that innocent man, for today I have suffered a great deal because of a dream about him.” "
Matthew,27,20,Now the chief priests and the elders persuaded the crowds to ask for Barabbas and to have Jesus killed. 
Matthew,27,21,"The governor again said to them, “Which of the two do you want me to release for you?” And they said, “Barabbas.” "
Matthew,27,22,"Pilate said to them, “Then what should I do with Jesus who is called the Messiah?” All of them said, “Let him be crucified!” "
Matthew,27,23,"Then he asked, “Why, what evil has he done?” But they shouted all the more, “Let him be crucified!” "
Matthew,27,24,"So when Pilate saw that he could do nothing, but rather that a riot was beginning, he took some water and washed his hands before the crowd, saying, “I am innocent of this man’s blood; see to it yourselves.” "
Matthew,27,25,"Then the people as a whole answered, “His blood be on us and on our children!” "
Matthew,27,26,"So he released Barabbas for them; and after flogging Jesus, he handed him over to be crucified. "
