Book,Chapter,Verse,Text
John,20,Title,The Resurrection of Jesus
John,20,Title,Jesus Appears to Mary Magdalene
John,20,Title,Jesus Appears to the Disciples
John,20,Title,Jesus and Thomas
John,20,Title,The Purpose of This Book
John,20,1,"Early on the first day of the week, while it was still dark, Mary Magdalene came to the tomb and saw that the stone had been removed from the tomb. "
John,20,2,"So she ran and went to Simon Peter and the other disciple, the one whom Jesus loved, and said to them, “They have taken the Lord out of the tomb, and we do not know where they have laid him.” "
John,20,3,Then Peter and the other disciple set out and went toward the tomb. 
John,20,4,"The two were running together, but the other disciple outran Peter and reached the tomb first. "
John,20,5,"He bent down to look in and saw the linen wrappings lying there, but he did not go in. "
John,20,6,"Then Simon Peter came, following him, and went into the tomb. He saw the linen wrappings lying there, "
John,20,7,"and the cloth that had been on Jesus’ head, not lying with the linen wrappings but rolled up in a place by itself. "
John,20,8,"Then the other disciple, who reached the tomb first, also went in, and he saw and believed; "
John,20,9,"for as yet they did not understand the scripture, that he must rise from the dead. "
John,20,10,Then the disciples returned to their homes. 
John,20,11,"But Mary stood weeping outside the tomb. As she wept, she bent over to look into the tomb; "
John,20,12,"and she saw two angels in white, sitting where the body of Jesus had been lying, one at the head and the other at the feet. "
John,20,13,"They said to her, “Woman, why are you weeping?” She said to them, “They have taken away my Lord, and I do not know where they have laid him.” "
John,20,14,"When she had said this, she turned around and saw Jesus standing there, but she did not know that it was Jesus. "
John,20,15,"Jesus said to her, “Woman, why are you weeping? Whom are you looking for?” Supposing him to be the gardener, she said to him, “Sir, if you have carried him away, tell me where you have laid him, and I will take him away.” "
John,20,16,"Jesus said to her, “Mary!” She turned and said to him in Hebrew, “Rabbouni!” (which means Teacher). "
John,20,17,"Jesus said to her, “Do not hold on to me, because I have not yet ascended to the Father. But go to my brothers and say to them, ‘I am ascending to my Father and your Father, to my God and your God.’” "
John,20,18,"Mary Magdalene went and announced to the disciples, “I have seen the Lord”; and she told them that he had said these things to her. "
John,20,19,"When it was evening on that day, the first day of the week, and the doors of the house where the disciples had met were locked for fear of the Jews, Jesus came and stood among them and said, “Peace be with you.” "
John,20,20,"After he said this, he showed them his hands and his side. Then the disciples rejoiced when they saw the Lord. "
John,20,21,"Jesus said to them again, “Peace be with you. As the Father has sent me, so I send you.” "
John,20,22,"When he had said this, he breathed on them and said to them, “Receive the Holy Spirit. "
John,20,23,"If you forgive the sins of any, they are forgiven them; if you retain the sins of any, they are retained.” "
John,20,24,"But Thomas (who was called the Twin ), one of the twelve, was not with them when Jesus came. "
John,20,25,"So the other disciples told him, “We have seen the Lord.” But he said to them, “Unless I see the mark of the nails in his hands, and put my finger in the mark of the nails and my hand in his side, I will not believe.” "
John,20,26,"A week later his disciples were again in the house, and Thomas was with them. Although the doors were shut, Jesus came and stood among them and said, “Peace be with you.” "
John,20,27,"Then he said to Thomas, “Put your finger here and see my hands. Reach out your hand and put it in my side. Do not doubt but believe.” "
John,20,28,"Thomas answered him, “My Lord and my God!” "
John,20,29,"Jesus said to him, “Have you believed because you have seen me? Blessed are those who have not seen and yet have come to believe.” "
John,20,30,"Now Jesus did many other signs in the presence of his disciples, which are not written in this book. "
John,20,31,"But these are written so that you may come to believe that Jesus is the Messiah, the Son of God, and that through believing you may have life in his name. "
