Book,Chapter,Verse,Text
John,7,Title,The Unbelief of Jesus’ Brothers
John,7,Title,Jesus at the Festival of Booths
John,7,Title,Is This the Christ?
John,7,Title,Officers Are Sent to Arrest Jesus
John,7,Title,Rivers of Living Water
John,7,Title,Division among the People
John,7,Title,The Unbelief of Those in Authority
John,7,Title,The Woman Caught in Adultery
John,7,1,After this Jesus went about in Galilee. He did not wish to go about in Judea because the Jews were looking for an opportunity to kill him. 
John,7,2,Now the Jewish festival of Booths was near. 
John,7,3,"So his brothers said to him, “Leave here and go to Judea so that your disciples also may see the works you are doing; "
John,7,4,"for no one who wants to be widely known acts in secret. If you do these things, show yourself to the world.” "
John,7,5,(For not even his brothers believed in him.) 
John,7,6,"Jesus said to them, “My time has not yet come, but your time is always here. "
John,7,7,"The world cannot hate you, but it hates me because I testify against it that its works are evil. "
John,7,8,"Go to the festival yourselves. I am not going to this festival, for my time has not yet fully come.” "
John,7,9,"After saying this, he remained in Galilee. "
John,7,10,"But after his brothers had gone to the festival, then he also went, not publicly but as it were in secret. "
John,7,11,"The Jews were looking for him at the festival and saying, “Where is he?” "
John,7,12,"And there was considerable complaining about him among the crowds. While some were saying, “He is a good man,” others were saying, “No, he is deceiving the crowd.” "
John,7,13,Yet no one would speak openly about him for fear of the Jews. 
John,7,14,About the middle of the festival Jesus went up into the temple and began to teach. 
John,7,15,"The Jews were astonished at it, saying, “How does this man have such learning, when he has never been taught?” "
John,7,16,"Then Jesus answered them, “My teaching is not mine but his who sent me. "
John,7,17,Anyone who resolves to do the will of God will know whether the teaching is from God or whether I am speaking on my own. 
John,7,18,"Those who speak on their own seek their own glory; but the one who seeks the glory of him who sent him is true, and there is nothing false in him. "
John,7,19,“Did not Moses give you the law? Yet none of you keeps the law. Why are you looking for an opportunity to kill me?” 
John,7,20,"The crowd answered, “You have a demon! Who is trying to kill you?” "
John,7,21,"Jesus answered them, “I performed one work, and all of you are astonished. "
John,7,22,"Moses gave you circumcision (it is, of course, not from Moses, but from the patriarchs), and you circumcise a man on the sabbath. "
John,7,23,"If a man receives circumcision on the sabbath in order that the law of Moses may not be broken, are you angry with me because I healed a man’s whole body on the sabbath? "
John,7,24,"Do not judge by appearances, but judge with right judgment.” "
John,7,25,"Now some of the people of Jerusalem were saying, “Is not this the man whom they are trying to kill? "
John,7,26,"And here he is, speaking openly, but they say nothing to him! Can it be that the authorities really know that this is the Messiah? "
John,7,27,"Yet we know where this man is from; but when the Messiah comes, no one will know where he is from.” "
John,7,28,"Then Jesus cried out as he was teaching in the temple, “You know me, and you know where I am from. I have not come on my own. But the one who sent me is true, and you do not know him. "
John,7,29,"I know him, because I am from him, and he sent me.” "
John,7,30,"Then they tried to arrest him, but no one laid hands on him, because his hour had not yet come. "
John,7,31,"Yet many in the crowd believed in him and were saying, “When the Messiah comes, will he do more signs than this man has done?” "
John,7,32,"The Pharisees heard the crowd muttering such things about him, and the chief priests and Pharisees sent temple police to arrest him. "
John,7,33,"Jesus then said, “I will be with you a little while longer, and then I am going to him who sent me. "
John,7,34,"You will search for me, but you will not find me; and where I am, you cannot come.” "
John,7,35,"The Jews said to one another, “Where does this man intend to go that we will not find him? Does he intend to go to the Dispersion among the Greeks and teach the Greeks? "
John,7,36,"What does he mean by saying, ‘You will search for me and you will not find me’ and ‘Where I am, you cannot come’?” "
John,7,37,"On the last day of the festival, the great day, while Jesus was standing there, he cried out, “Let anyone who is thirsty come to me, "
John,7,38,"and let the one who believes in me drink. As the scripture has said, ‘Out of the believer’s heart shall flow rivers of living water.’” "
John,7,39,"Now he said this about the Spirit, which believers in him were to receive; for as yet there was no Spirit, because Jesus was not yet glorified. "
John,7,40,"When they heard these words, some in the crowd said, “This is really the prophet.” "
John,7,41,"Others said, “This is the Messiah.” But some asked, “Surely the Messiah does not come from Galilee, does he? "
John,7,42,"Has not the scripture said that the Messiah is descended from David and comes from Bethlehem, the village where David lived?” "
John,7,43,So there was a division in the crowd because of him. 
John,7,44,"Some of them wanted to arrest him, but no one laid hands on him. "
John,7,45,"Then the temple police went back to the chief priests and Pharisees, who asked them, “Why did you not arrest him?” "
John,7,46,"The police answered, “Never has anyone spoken like this!” "
John,7,47,"Then the Pharisees replied, “Surely you have not been deceived too, have you? "
John,7,48,Has any one of the authorities or of the Pharisees believed in him? 
John,7,49,"But this crowd, which does not know the law—they are accursed.” "
John,7,50,"Nicodemus, who had gone to Jesus before, and who was one of them, asked, "
John,7,51,"“Our law does not judge people without first giving them a hearing to find out what they are doing, does it?” "
John,7,52,"They replied, “Surely you are not also from Galilee, are you? Search and you will see that no prophet is to arise from Galilee.” [[ "
John,7,53,"Then each of them went home, "
