Book,Chapter,Verse,Text
John,4,Title,Jesus and the Woman of Samaria
John,4,Title,Jesus Returns to Galilee
John,4,Title,Jesus Heals an Official’s Son
John,4,1,"Now when Jesus learned that the Pharisees had heard, “Jesus is making and baptizing more disciples than John” "
John,4,2,—although it was not Jesus himself but his disciples who baptized— 
John,4,3,he left Judea and started back to Galilee. 
John,4,4,But he had to go through Samaria. 
John,4,5,"So he came to a Samaritan city called Sychar, near the plot of ground that Jacob had given to his son Joseph. "
John,4,6,"Jacob’s well was there, and Jesus, tired out by his journey, was sitting by the well. It was about noon. "
John,4,7,"A Samaritan woman came to draw water, and Jesus said to her, “Give me a drink.” "
John,4,8,(His disciples had gone to the city to buy food.) 
John,4,9,"The Samaritan woman said to him, “How is it that you, a Jew, ask a drink of me, a woman of Samaria?” (Jews do not share things in common with Samaritans.) "
John,4,10,"Jesus answered her, “If you knew the gift of God, and who it is that is saying to you, ‘Give me a drink,’ you would have asked him, and he would have given you living water.” "
John,4,11,"The woman said to him, “Sir, you have no bucket, and the well is deep. Where do you get that living water? "
John,4,12,"Are you greater than our ancestor Jacob, who gave us the well, and with his sons and his flocks drank from it?” "
John,4,13,"Jesus said to her, “Everyone who drinks of this water will be thirsty again, "
John,4,14,but those who drink of the water that I will give them will never be thirsty. The water that I will give will become in them a spring of water gushing up to eternal life.” 
John,4,15,"The woman said to him, “Sir, give me this water, so that I may never be thirsty or have to keep coming here to draw water.” "
John,4,16,"Jesus said to her, “Go, call your husband, and come back.” "
John,4,17,"The woman answered him, “I have no husband.” Jesus said to her, “You are right in saying, ‘I have no husband’; "
John,4,18,"for you have had five husbands, and the one you have now is not your husband. What you have said is true!” "
John,4,19,"The woman said to him, “Sir, I see that you are a prophet. "
John,4,20,"Our ancestors worshiped on this mountain, but you say that the place where people must worship is in Jerusalem.” "
John,4,21,"Jesus said to her, “Woman, believe me, the hour is coming when you will worship the Father neither on this mountain nor in Jerusalem. "
John,4,22,"You worship what you do not know; we worship what we know, for salvation is from the Jews. "
John,4,23,"But the hour is coming, and is now here, when the true worshipers will worship the Father in spirit and truth, for the Father seeks such as these to worship him. "
John,4,24,"God is spirit, and those who worship him must worship in spirit and truth.” "
John,4,25,"The woman said to him, “I know that Messiah is coming” (who is called Christ). “When he comes, he will proclaim all things to us.” "
John,4,26,"Jesus said to her, “I am he, the one who is speaking to you.” "
John,4,27,"Just then his disciples came. They were astonished that he was speaking with a woman, but no one said, “What do you want?” or, “Why are you speaking with her?” "
John,4,28,"Then the woman left her water jar and went back to the city. She said to the people, "
John,4,29,"“Come and see a man who told me everything I have ever done! He cannot be the Messiah, can he?” "
John,4,30,They left the city and were on their way to him. 
John,4,31,"Meanwhile the disciples were urging him, “Rabbi, eat something.” "
John,4,32,"But he said to them, “I have food to eat that you do not know about.” "
John,4,33,"So the disciples said to one another, “Surely no one has brought him something to eat?” "
John,4,34,"Jesus said to them, “My food is to do the will of him who sent me and to complete his work. "
John,4,35,"Do you not say, ‘Four months more, then comes the harvest’? But I tell you, look around you, and see how the fields are ripe for harvesting. "
John,4,36,"The reaper is already receiving wages and is gathering fruit for eternal life, so that sower and reaper may rejoice together. "
John,4,37,"For here the saying holds true, ‘One sows and another reaps.’ "
John,4,38,"I sent you to reap that for which you did not labor. Others have labored, and you have entered into their labor.” "
John,4,39,"Many Samaritans from that city believed in him because of the woman’s testimony, “He told me everything I have ever done.” "
John,4,40,"So when the Samaritans came to him, they asked him to stay with them; and he stayed there two days. "
John,4,41,And many more believed because of his word. 
John,4,42,"They said to the woman, “It is no longer because of what you said that we believe, for we have heard for ourselves, and we know that this is truly the Savior of the world.” "
John,4,43,"When the two days were over, he went from that place to Galilee "
John,4,44,(for Jesus himself had testified that a prophet has no honor in the prophet’s own country). 
John,4,45,"When he came to Galilee, the Galileans welcomed him, since they had seen all that he had done in Jerusalem at the festival; for they too had gone to the festival. "
John,4,46,Then he came again to Cana in Galilee where he had changed the water into wine. Now there was a royal official whose son lay ill in Capernaum. 
John,4,47,"When he heard that Jesus had come from Judea to Galilee, he went and begged him to come down and heal his son, for he was at the point of death. "
John,4,48,"Then Jesus said to him, “Unless you see signs and wonders you will not believe.” "
John,4,49,"The official said to him, “Sir, come down before my little boy dies.” "
John,4,50,"Jesus said to him, “Go; your son will live.” The man believed the word that Jesus spoke to him and started on his way. "
John,4,51,"As he was going down, his slaves met him and told him that his child was alive. "
John,4,52,"So he asked them the hour when he began to recover, and they said to him, “Yesterday at one in the afternoon the fever left him.” "
John,4,53,"The father realized that this was the hour when Jesus had said to him, “Your son will live.” So he himself believed, along with his whole household. "
Matthew,4,54,Now this was the second sign that Jesus did after coming from Judea to Galilee. 
