Book,Chapter,Verse,Text
John,5,Title,Jesus Heals on the Sabbath
John,5,Title,The Authority of the Son
John,5,Title,Witnesses to Jesus
John,5,1,"After this there was a festival of the Jews, and Jesus went up to Jerusalem. "
John,5,2,"Now in Jerusalem by the Sheep Gate there is a pool, called in Hebrew Beth-zatha, which has five porticoes. "
John,5,3,"In these lay many invalids—blind, lame, and paralyzed. "
John,5,4,One man was there who had been ill for thirty-eight years. 
John,5,5,"When Jesus saw him lying there and knew that he had been there a long time, he said to him, “Do you want to be made well?” "
John,5,6,"The sick man answered him, “Sir, I have no one to put me into the pool when the water is stirred up; and while I am making my way, someone else steps down ahead of me.” "
John,5,7,"Jesus said to him, “Stand up, take your mat and walk.” "
John,5,8,"At once the man was made well, and he took up his mat and began to walk. Now that day was a sabbath. "
John,5,9,"So the Jews said to the man who had been cured, “It is the sabbath; it is not lawful for you to carry your mat.” "
John,5,10,"But he answered them, “The man who made me well said to me, ‘Take up your mat and walk.’” "
John,5,11,"They asked him, “Who is the man who said to you, ‘Take it up and walk’?” "
John,5,12,"Now the man who had been healed did not know who it was, for Jesus had disappeared in the crowd that was there. "
John,5,13,"Later Jesus found him in the temple and said to him, “See, you have been made well! Do not sin any more, so that nothing worse happens to you.” "
John,5,14,The man went away and told the Jews that it was Jesus who had made him well. 
John,5,15,"Therefore the Jews started persecuting Jesus, because he was doing such things on the sabbath. "
John,5,16,"But Jesus answered them, “My Father is still working, and I also am working.” "
John,5,17,"For this reason the Jews were seeking all the more to kill him, because he was not only breaking the sabbath, but was also calling God his own Father, thereby making himself equal to God. "
John,5,18,"Jesus said to them, “Very truly, I tell you, the Son can do nothing on his own, but only what he sees the Father doing; for whatever the Father does, the Son does likewise. "
John,5,19,"The Father loves the Son and shows him all that he himself is doing; and he will show him greater works than these, so that you will be astonished. "
John,5,20,"Indeed, just as the Father raises the dead and gives them life, so also the Son gives life to whomever he wishes. "
John,5,21,"The Father judges no one but has given all judgment to the Son, "
John,5,22,so that all may honor the Son just as they honor the Father. Anyone who does not honor the Son does not honor the Father who sent him. 
John,5,23,"Very truly, I tell you, anyone who hears my word and believes him who sent me has eternal life, and does not come under judgment, but has passed from death to life. "
John,5,24,"“Very truly, I tell you, the hour is coming, and is now here, when the dead will hear the voice of the Son of God, and those who hear will live. "
John,5,25,"For just as the Father has life in himself, so he has granted the Son also to have life in himself; "
John,5,26,"and he has given him authority to execute judgment, because he is the Son of Man. "
John,5,27,Do not be astonished at this; for the hour is coming when all who are in their graves will hear his voice 
John,5,28,"and will come out—those who have done good, to the resurrection of life, and those who have done evil, to the resurrection of condemnation. "
John,5,29,"“I can do nothing on my own. As I hear, I judge; and my judgment is just, because I seek to do not my own will but the will of him who sent me. "
John,5,30,"“If I testify about myself, my testimony is not true. "
John,5,31,"There is another who testifies on my behalf, and I know that his testimony to me is true. "
John,5,32,"You sent messengers to John, and he testified to the truth. "
John,5,33,"Not that I accept such human testimony, but I say these things so that you may be saved. "
John,5,34,"He was a burning and shining lamp, and you were willing to rejoice for a while in his light. "
John,5,35,"But I have a testimony greater than John’s. The works that the Father has given me to complete, the very works that I am doing, testify on my behalf that the Father has sent me. "
John,5,36,"And the Father who sent me has himself testified on my behalf. You have never heard his voice or seen his form, "
John,5,37,"and you do not have his word abiding in you, because you do not believe him whom he has sent. "
John,5,38,“You search the scriptures because you think that in them you have eternal life; and it is they that testify on my behalf. 
John,5,39,Yet you refuse to come to me to have life. 
John,5,40,I do not accept glory from human beings. 
John,5,41,But I know that you do not have the love of God in you. 
John,5,42,"I have come in my Father’s name, and you do not accept me; if another comes in his own name, you will accept him. "
John,5,43,How can you believe when you accept glory from one another and do not seek the glory that comes from the one who alone is God? 
John,5,44,"Do not think that I will accuse you before the Father; your accuser is Moses, on whom you have set your hope. "
John,5,45,"If you believed Moses, you would believe me, for he wrote about me. "
Matthew,5,46,"But if you do not believe what he wrote, how will you believe what I say?” "
