Book,Chapter,Verse,Text
Acts,21,Title,Paul’s Journey to Jerusalem
Acts,21,Title,Paul Visits James at Jerusalem
Acts,21,Title,Paul Arrested in the Temple
Acts,21,Title,Paul Defends Himself
Acts,21,1,"When we had parted from them and set sail, we came by a straight course to Cos, and the next day to Rhodes, and from there to Patara. "
Acts,21,2,"When we found a ship bound for Phoenicia, we went on board and set sail. "
Acts,21,3,"We came in sight of Cyprus; and leaving it on our left, we sailed to Syria and landed at Tyre, because the ship was to unload its cargo there. "
Acts,21,4,We looked up the disciples and stayed there for seven days. Through the Spirit they told Paul not to go on to Jerusalem. 
Acts,21,5,"When our days there were ended, we left and proceeded on our journey; and all of them, with wives and children, escorted us outside the city. There we knelt down on the beach and prayed "
Acts,21,6,"and said farewell to one another. Then we went on board the ship, and they returned home. "
Acts,21,7,"When we had finished the voyage from Tyre, we arrived at Ptolemais; and we greeted the believers and stayed with them for one day. "
Acts,21,8,"The next day we left and came to Caesarea; and we went into the house of Philip the evangelist, one of the seven, and stayed with him. "
Acts,21,9,He had four unmarried daughters who had the gift of prophecy. 
Acts,21,10,"While we were staying there for several days, a prophet named Agabus came down from Judea. "
Acts,21,11,"He came to us and took Paul’s belt, bound his own feet and hands with it, and said, “Thus says the Holy Spirit, ‘This is the way the Jews in Jerusalem will bind the man who owns this belt and will hand him over to the Gentiles.’” "
Acts,21,12,"When we heard this, we and the people there urged him not to go up to Jerusalem. "
Acts,21,13,"Then Paul answered, “What are you doing, weeping and breaking my heart? For I am ready not only to be bound but even to die in Jerusalem for the name of the Lord Jesus.” "
Acts,21,14,"Since he would not be persuaded, we remained silent except to say, “The Lord’s will be done.” "
Acts,21,15,After these days we got ready and started to go up to Jerusalem. 
Acts,21,16,"Some of the disciples from Caesarea also came along and brought us to the house of Mnason of Cyprus, an early disciple, with whom we were to stay. "
Acts,21,17,"When we arrived in Jerusalem, the brothers welcomed us warmly. "
Acts,21,18,The next day Paul went with us to visit James; and all the elders were present. 
Acts,21,19,"After greeting them, he related one by one the things that God had done among the Gentiles through his ministry. "
Acts,21,20,"When they heard it, they praised God. Then they said to him, “You see, brother, how many thousands of believers there are among the Jews, and they are all zealous for the law. "
Acts,21,21,"They have been told about you that you teach all the Jews living among the Gentiles to forsake Moses, and that you tell them not to circumcise their children or observe the customs. "
Acts,21,22,What then is to be done? They will certainly hear that you have come. 
Acts,21,23,So do what we tell you. We have four men who are under a vow. 
Acts,21,24,"Join these men, go through the rite of purification with them, and pay for the shaving of their heads. Thus all will know that there is nothing in what they have been told about you, but that you yourself observe and guard the law. "
Acts,21,25,"But as for the Gentiles who have become believers, we have sent a letter with our judgment that they should abstain from what has been sacrificed to idols and from blood and from what is strangled and from fornication.” "
Acts,21,26,"Then Paul took the men, and the next day, having purified himself, he entered the temple with them, making public the completion of the days of purification when the sacrifice would be made for each of them. "
Acts,21,27,"When the seven days were almost completed, the Jews from Asia, who had seen him in the temple, stirred up the whole crowd. They seized him, "
Acts,21,28,"shouting, “Fellow Israelites, help! This is the man who is teaching everyone everywhere against our people, our law, and this place; more than that, he has actually brought Greeks into the temple and has defiled this holy place.” "
Acts,21,29,"For they had previously seen Trophimus the Ephesian with him in the city, and they supposed that Paul had brought him into the temple. "
Acts,21,30,"Then all the city was aroused, and the people rushed together. They seized Paul and dragged him out of the temple, and immediately the doors were shut. "
Acts,21,31,"While they were trying to kill him, word came to the tribune of the cohort that all Jerusalem was in an uproar. "
Acts,21,32,"Immediately he took soldiers and centurions and ran down to them. When they saw the tribune and the soldiers, they stopped beating Paul. "
Acts,21,33,"Then the tribune came, arrested him, and ordered him to be bound with two chains; he inquired who he was and what he had done. "
Acts,21,34,"Some in the crowd shouted one thing, some another; and as he could not learn the facts because of the uproar, he ordered him to be brought into the barracks. "
Acts,21,35,"When Paul came to the steps, the violence of the mob was so great that he had to be carried by the soldiers. "
Acts,21,36,"The crowd that followed kept shouting, “Away with him!” "
Acts,21,37,"Just as Paul was about to be brought into the barracks, he said to the tribune, “May I say something to you?” The tribune replied, “Do you know Greek? "
Acts,21,38,Then you are not the Egyptian who recently stirred up a revolt and led the four thousand assassins out into the wilderness?” 
Acts,21,39,"Paul replied, “I am a Jew, from Tarsus in Cilicia, a citizen of an important city; I beg you, let me speak to the people.” "
Matthew,21,40,"When he had given him permission, Paul stood on the steps and motioned to the people for silence; and when there was a great hush, he addressed them in the Hebrew language, saying: "
