Book,Chapter,Verse,Text
Acts,6,Title,Seven Chosen to Serve
Acts,6,Title,The Arrest of Stephen
Acts,6,1,"Now during those days, when the disciples were increasing in number, the Hellenists complained against the Hebrews because their widows were being neglected in the daily distribution of food. "
Acts,6,2,"And the twelve called together the whole community of the disciples and said, “It is not right that we should neglect the word of God in order to wait on tables. "
Acts,6,3,"Therefore, friends, select from among yourselves seven men of good standing, full of the Spirit and of wisdom, whom we may appoint to this task, "
Acts,6,4,"while we, for our part, will devote ourselves to prayer and to serving the word.” "
Acts,6,5,"What they said pleased the whole community, and they chose Stephen, a man full of faith and the Holy Spirit, together with Philip, Prochorus, Nicanor, Timon, Parmenas, and Nicolaus, a proselyte of Antioch. "
Acts,6,6,"They had these men stand before the apostles, who prayed and laid their hands on them. "
Acts,6,7,"The word of God continued to spread; the number of the disciples increased greatly in Jerusalem, and a great many of the priests became obedient to the faith. "
Acts,6,8,"Stephen, full of grace and power, did great wonders and signs among the people. "
Acts,6,9,"Then some of those who belonged to the synagogue of the Freedmen (as it was called), Cyrenians, Alexandrians, and others of those from Cilicia and Asia, stood up and argued with Stephen. "
Acts,6,10,But they could not withstand the wisdom and the Spirit with which he spoke. 
Acts,6,11,"Then they secretly instigated some men to say, “We have heard him speak blasphemous words against Moses and God.” "
Acts,6,12,"They stirred up the people as well as the elders and the scribes; then they suddenly confronted him, seized him, and brought him before the council. "
Acts,6,13,"They set up false witnesses who said, “This man never stops saying things against this holy place and the law; "
Acts,6,14,for we have heard him say that this Jesus of Nazareth will destroy this place and will change the customs that Moses handed on to us.” 
Matthew,6,15,"And all who sat in the council looked intently at him, and they saw that his face was like the face of an angel. "
