Book,Chapter,Verse,Text
Acts,28,Title,Paul on the Island of Malta
Acts,28,Title,Paul Arrives at Rome
Acts,28,Title,Paul and Jewish Leaders in Rome
Acts,28,Title,Paul Preaches in Rome
Acts,28,1,"After we had reached safety, we then learned that the island was called Malta. "
Acts,28,2,"The natives showed us unusual kindness. Since it had begun to rain and was cold, they kindled a fire and welcomed all of us around it. "
Acts,28,3,"Paul had gathered a bundle of brushwood and was putting it on the fire, when a viper, driven out by the heat, fastened itself on his hand. "
Acts,28,4,"When the natives saw the creature hanging from his hand, they said to one another, “This man must be a murderer; though he has escaped from the sea, justice has not allowed him to live.” "
Acts,28,5,"He, however, shook off the creature into the fire and suffered no harm. "
Acts,28,6,"They were expecting him to swell up or drop dead, but after they had waited a long time and saw that nothing unusual had happened to him, they changed their minds and began to say that he was a god. "
Acts,28,7,"Now in the neighborhood of that place were lands belonging to the leading man of the island, named Publius, who received us and entertained us hospitably for three days. "
Acts,28,8,It so happened that the father of Publius lay sick in bed with fever and dysentery. Paul visited him and cured him by praying and putting his hands on him. 
Acts,28,9,"After this happened, the rest of the people on the island who had diseases also came and were cured. "
Acts,28,10,"They bestowed many honors on us, and when we were about to sail, they put on board all the provisions we needed. "
Acts,28,11,"Three months later we set sail on a ship that had wintered at the island, an Alexandrian ship with the Twin Brothers as its figurehead. "
Acts,28,12,We put in at Syracuse and stayed there for three days; 
Acts,28,13,"then we weighed anchor and came to Rhegium. After one day there a south wind sprang up, and on the second day we came to Puteoli. "
Acts,28,14,There we found believers and were invited to stay with them for seven days. And so we came to Rome. 
Acts,28,15,"The believers from there, when they heard of us, came as far as the Forum of Appius and Three Taverns to meet us. On seeing them, Paul thanked God and took courage. "
Acts,28,16,"When we came into Rome, Paul was allowed to live by himself, with the soldier who was guarding him. "
Acts,28,17,"Three days later he called together the local leaders of the Jews. When they had assembled, he said to them, “Brothers, though I had done nothing against our people or the customs of our ancestors, yet I was arrested in Jerusalem and handed over to the Romans. "
Acts,28,18,"When they had examined me, the Romans wanted to release me, because there was no reason for the death penalty in my case. "
Acts,28,19,"But when the Jews objected, I was compelled to appeal to the emperor—even though I had no charge to bring against my nation. "
Acts,28,20,"For this reason therefore I have asked to see you and speak with you, since it is for the sake of the hope of Israel that I am bound with this chain.” "
Acts,28,21,"They replied, “We have received no letters from Judea about you, and none of the brothers coming here has reported or spoken anything evil about you. "
Acts,28,22,"But we would like to hear from you what you think, for with regard to this sect we know that everywhere it is spoken against.” "
Acts,28,23,"After they had set a day to meet with him, they came to him at his lodgings in great numbers. From morning until evening he explained the matter to them, testifying to the kingdom of God and trying to convince them about Jesus both from the law of Moses and from the prophets. "
Acts,28,24,"Some were convinced by what he had said, while others refused to believe. "
Acts,28,25,"So they disagreed with each other; and as they were leaving, Paul made one further statement: “The Holy Spirit was right in saying to your ancestors through the prophet Isaiah, "
Acts,28,26,"‘Go to this people and say, You will indeed listen, but never understand, and you will indeed look, but never perceive. "
Acts,28,27,"For this people’s heart has grown dull, and their ears are hard of hearing, and they have shut their eyes; so that they might not look with their eyes, and listen with their ears, and understand with their heart and turn— and I would heal them.’ "
Acts,28,28,Let it be known to you then that this salvation of God has been sent to the Gentiles; they will listen.” 
Acts,28,29,"He lived there two whole years at his own expense and welcomed all who came to him, "
Acts,28,30,proclaiming the kingdom of God and teaching about the Lord Jesus Christ with all boldness and without hindrance. 
