Book,Chapter,Verse,Text
Acts,26,Title,Paul Defends Himself before Agrippa
Acts,26,Title,Paul Tells of His Conversion
Acts,26,Title,Paul Tells of His Preaching
Acts,26,Title,Paul Appeals to Agrippa to Believe
Acts,26,1,"Agrippa said to Paul, “You have permission to speak for yourself.” Then Paul stretched out his hand and began to defend himself: "
Acts,26,2,"“I consider myself fortunate that it is before you, King Agrippa, I am to make my defense today against all the accusations of the Jews, "
Acts,26,3,because you are especially familiar with all the customs and controversies of the Jews; therefore I beg of you to listen to me patiently. 
Acts,26,4,"“All the Jews know my way of life from my youth, a life spent from the beginning among my own people and in Jerusalem. "
Acts,26,5,"They have known for a long time, if they are willing to testify, that I have belonged to the strictest sect of our religion and lived as a Pharisee. "
Acts,26,6,"And now I stand here on trial on account of my hope in the promise made by God to our ancestors, "
Acts,26,7,"a promise that our twelve tribes hope to attain, as they earnestly worship day and night. It is for this hope, your Excellency, that I am accused by Jews! "
Acts,26,8,Why is it thought incredible by any of you that God raises the dead? 
Acts,26,9,"“Indeed, I myself was convinced that I ought to do many things against the name of Jesus of Nazareth. "
Acts,26,10,"And that is what I did in Jerusalem; with authority received from the chief priests, I not only locked up many of the saints in prison, but I also cast my vote against them when they were being condemned to death. "
Acts,26,11,"By punishing them often in all the synagogues I tried to force them to blaspheme; and since I was so furiously enraged at them, I pursued them even to foreign cities. "
Acts,26,12,"“With this in mind, I was traveling to Damascus with the authority and commission of the chief priests, "
Acts,26,13,"when at midday along the road, your Excellency, I saw a light from heaven, brighter than the sun, shining around me and my companions. "
Acts,26,14,"When we had all fallen to the ground, I heard a voice saying to me in the Hebrew language, ‘Saul, Saul, why are you persecuting me? It hurts you to kick against the goads.’ "
Acts,26,15,"I asked, ‘Who are you, Lord?’ The Lord answered, ‘I am Jesus whom you are persecuting. "
Acts,26,16,"But get up and stand on your feet; for I have appeared to you for this purpose, to appoint you to serve and testify to the things in which you have seen me and to those in which I will appear to you. "
Acts,26,17,I will rescue you from your people and from the Gentiles—to whom I am sending you 
Acts,26,18,"to open their eyes so that they may turn from darkness to light and from the power of Satan to God, so that they may receive forgiveness of sins and a place among those who are sanctified by faith in me.’ "
Acts,26,19,"“After that, King Agrippa, I was not disobedient to the heavenly vision, "
Acts,26,20,"but declared first to those in Damascus, then in Jerusalem and throughout the countryside of Judea, and also to the Gentiles, that they should repent and turn to God and do deeds consistent with repentance. "
Acts,26,21,For this reason the Jews seized me in the temple and tried to kill me. 
Acts,26,22,"To this day I have had help from God, and so I stand here, testifying to both small and great, saying nothing but what the prophets and Moses said would take place: "
Acts,26,23,"that the Messiah must suffer, and that, by being the first to rise from the dead, he would proclaim light both to our people and to the Gentiles.” "
Acts,26,24,"While he was making this defense, Festus exclaimed, “You are out of your mind, Paul! Too much learning is driving you insane!” "
Acts,26,25,"But Paul said, “I am not out of my mind, most excellent Festus, but I am speaking the sober truth. "
Acts,26,26,"Indeed the king knows about these things, and to him I speak freely; for I am certain that none of these things has escaped his notice, for this was not done in a corner. "
Acts,26,27,"King Agrippa, do you believe the prophets? I know that you believe.” "
Acts,26,28,"Agrippa said to Paul, “Are you so quickly persuading me to become a Christian?” "
Acts,26,29,"Paul replied, “Whether quickly or not, I pray to God that not only you but also all who are listening to me today might become such as I am—except for these chains.” "
Acts,26,30,"Then the king got up, and with him the governor and Bernice and those who had been seated with them; "
Acts,26,31,"and as they were leaving, they said to one another, “This man is doing nothing to deserve death or imprisonment.” "
Acts,26,32,"Agrippa said to Festus, “This man could have been set free if he had not appealed to the emperor.” "
